gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,32.9,20.3,0.0,2.1,null
002,33.5,21.3,0.0,3.1,null
003,43.4,35.9,0.1,4.4,null
004,35.3,30.3,0.1,3.6,null
005,35.8,30.1,0.1,3.8,null
006,35.8,30.9,0.1,3.3,null
007,41.7,36.8,0.1,4.5,null
008,34.6,33.0,0.1,3.6,null
009,38.6,35.4,0.2,3.6,null
010,38.6,33.6,0.2,3.5,null
011,35.9,32.9,0.2,3.1,null
012,36.4,33.6,0.2,3.3,null
013,42.6,37.0,0.2,3.7,null
014,44.4,37.2,0.3,3.6,null
015,35.6,32.1,0.3,3.7,null
016,39.7,34.1,0.3,3.5,null
017,41.6,34.9,0.3,4.1,null
018,39.9,34.7,0.4,5.6,null
019,39.1,33.8,0.4,3.6,null
020,41.4,34.8,0.4,3.7,null
021,39.5,31.3,0.4,3.3,null
022,37.7,34.8,0.4,3.7,null
023,37.1,33.0,0.5,3.9,null
024,42.0,33.9,0.5,3.4,null
025,40.6,34.7,0.5,3.6,null
026,37.5,32.7,0.5,3.3,null
027,40.7,34.6,0.5,4.7,null
028,38.0,35.4,0.5,3.7,null
029,38.6,31.5,0.6,3.5,null
030,44.1,38.9,0.6,4.1,null
