gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,67.8,18.8,2.1,20.9,null
002,76.9,31.3,5.6,35.5,null
003,113.3,46.3,10.8,51.9,null
004,132.9,54.6,17.5,66.1,null
005,127.1,58.4,29.8,123.0,null
006,165.2,61.9,42.3,125.6,null
007,129.9,60.7,50.8,84.4,null
008,166.2,57.3,58.4,76.5,null
009,131.0,63.0,66.9,84.1,null
010,146.7,58.0,74.9,80.8,null
011,155.9,59.3,81.9,69.9,null
012,142.9,56.5,88.9,70.0,null
013,133.0,57.5,96.3,73.6,null
014,129.8,54.5,103.3,69.7,null
015,144.4,59.5,110.2,69.5,null
016,153.2,63.7,117.8,75.8,null
017,130.2,66.6,125.8,80.1,null
018,122.2,60.8,133.0,71.9,null
019,128.9,70.0,142.3,92.3,null
020,146.7,71.2,151.2,89.7,null
021,143.5,75.4,161.0,97.4,null
022,138.1,73.4,170.3,93.1,null
023,141.1,75.6,179.7,94.0,null
024,131.1,78.9,189.7,99.3,null
025,124.2,71.1,198.8,91.0,null
026,141.4,73.9,208.4,96.2,null
027,144.2,72.6,218.3,98.7,null
028,148.4,77.1,228.6,103.0,null
029,145.0,63.1,236.5,79.5,null
030,156.2,71.6,246.4,98.4,null
031,151.9,74.9,257.5,111.5,null
032,150.3,85.3,270.4,128.4,null
033,144.2,84.0,282.5,121.4,null
034,142.1,88.8,297.7,151.2,null
035,148.3,90.6,313.3,155.8,null
036,155.1,90.0,326.2,129.2,null
037,145.1,85.9,338.7,125.4,null
038,135.4,85.3,357.0,182.3,null
039,168.1,88.2,376.0,189.9,null
040,147.9,90.7,396.1,200.9,null
041,160.1,85.1,414.1,179.9,null
042,155.5,88.9,433.4,192.8,null
043,153.1,89.7,452.3,189.3,null
044,139.8,88.9,472.0,196.8,null
045,161.5,88.9,491.7,196.7,null
046,155.1,90.2,505.5,137.6,null
047,152.7,86.5,518.7,132.0,null
048,159.3,87.5,532.4,137.3,null
049,139.5,88.2,545.4,129.4,null
050,152.0,88.1,557.7,123.8,null
051,147.9,86.5,575.8,180.6,null
052,155.4,89.4,595.1,192.3,null
053,178.2,87.8,607.6,124.8,null
054,146.5,91.3,619.6,120.4,null
055,173.3,89.0,631.3,116.6,null
056,143.6,88.3,643.5,122.1,null
057,150.9,91.4,655.9,123.8,null
058,158.7,93.2,668.5,126.5,null
059,159.1,87.9,680.7,121.5,null
060,146.3,82.7,691.6,109.6,null
061,161.4,89.7,703.0,113.8,null
062,153.4,85.7,714.3,112.2,null
063,156.2,88.5,725.4,111.2,null
064,146.1,86.7,736.1,106.5,null
065,160.1,87.9,747.1,110.7,null
066,163.3,86.6,759.4,122.9,null
067,158.5,92.6,773.3,138.6,null
068,153.0,81.9,784.3,110.5,null
069,153.9,86.5,797.3,129.4,null
070,143.5,83.4,809.7,124.3,null
071,136.8,85.3,821.2,114.2,null
072,147.9,86.8,833.2,120.1,null
073,142.2,79.5,844.2,110.7,null
074,153.7,66.0,853.4,91.7,null
075,147.2,68.6,861.9,85.0,null
076,154.3,68.9,870.3,84.1,null
077,262.5,78.1,880.0,96.8,null
078,361.1,107.2,894.1,140.8,null
079,457.8,187.4,918.0,239.0,10111110010111101100011110000010111011001110111101111111100011000110100110000010010000101000001111101010011001111100001100010110
080,395.1,199.2,946.9,289.3,null
081,415.9,194.0,981.3,343.4,null
082,416.2,198.5,1020.8,394.7,null
083,385.9,203.2,1053.0,321.9,null
084,410.4,195.3,1083.5,305.0,null
085,391.9,195.6,1111.4,279.3,null
086,446.0,207.3,1143.0,315.7,null
087,396.8,208.9,1173.7,307.1,null
088,351.6,184.1,1203.7,299.5,null
089,402.1,195.7,1231.0,273.2,null
090,391.0,192.3,1260.5,294.8,null
091,438.3,213.8,1290.5,300.5,null
092,408.2,198.0,1319.5,289.9,null
093,414.3,197.0,1348.6,290.7,null
094,389.1,210.9,1380.5,318.9,null
095,384.9,204.4,1415.6,351.1,null
096,411.5,207.1,1448.4,328.0,null
097,384.3,207.4,1480.8,323.9,null
098,425.4,200.8,1516.9,360.9,null
099,427.4,201.8,1553.8,368.9,null
100,407.1,212.8,1585.2,313.5,null
