gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,66.9,35.9,0.0,3.2,null
002,89.2,55.2,0.0,5.0,null
003,109.8,68.2,0.1,6.0,null
004,98.5,51.7,0.1,4.5,null
005,126.5,59.1,0.1,5.1,null
006,77.3,51.1,0.1,4.4,null
007,122.5,66.6,0.2,6.2,null
008,104.3,79.9,0.2,7.3,null
009,130.6,106.6,0.3,9.4,null
010,106.5,83.4,0.3,7.5,null
011,114.8,95.1,0.3,8.1,null
012,90.5,83.7,0.4,7.5,null
013,103.1,84.9,0.4,7.5,null
014,118.7,94.5,0.5,8.2,null
015,136.1,108.8,0.5,10.1,null
016,110.3,89.0,0.6,7.8,null
017,125.1,90.9,0.6,8.1,null
018,135.1,89.6,0.6,8.0,null
019,111.6,89.5,0.7,8.0,null
020,137.1,115.0,0.7,10.4,null
021,122.7,87.1,0.8,7.6,null
022,113.5,93.5,0.8,8.8,null
023,109.4,90.4,0.9,8.3,null
024,104.0,88.4,0.9,8.3,null
025,113.5,96.9,1.0,9.0,null
026,112.3,93.6,1.0,7.9,null
027,110.4,91.4,1.0,8.5,null
028,123.8,106.1,1.1,9.4,null
029,103.5,93.8,1.1,8.2,null
030,108.3,85.9,1.2,8.2,null
031,87.1,80.8,1.2,7.4,null
032,130.1,93.0,1.3,8.7,null
033,102.0,87.6,1.3,8.6,null
034,156.5,115.6,1.3,11.0,null
035,127.9,87.5,1.4,8.0,null
036,94.0,85.0,1.4,7.6,null
037,171.9,108.9,1.5,10.4,null
038,131.0,101.8,1.5,9.6,null
039,143.2,107.9,1.6,10.2,null
040,104.5,87.2,1.6,8.6,null
041,106.6,85.1,1.7,8.5,null
042,131.2,105.0,1.7,10.6,null
043,108.1,84.5,1.8,8.6,null
044,114.9,84.8,1.8,9.0,null
045,148.1,103.7,1.9,10.5,null
046,137.4,102.2,1.9,10.1,null
047,112.6,91.9,2.0,9.5,null
048,140.1,98.9,2.0,9.6,null
049,117.5,99.7,2.1,9.2,null
050,135.0,108.3,2.1,10.3,null
